香港频道,#genre#
靖天国际台,P2p://51.79.41.138:18912/5b1408f1000efa2817d08c8d2aa26513.ts.ts
靖天戏剧台,P2p://51.79.41.138:18912/5b14093e000c1de917d1b89a306502e9.ts.ts
民视新闻台,P2p://51.79.41.138:18912/5c2dd7350001758511f82d372ce85587.ts.ts
三立新闻台,P2p://51.79.41.138:18912/5b14090b000e803017d0f1fe79e276bb.ts.ts#P2p://51.79.41.138:18912/5c2dd7380009406911f83af3446b19a8.ts.ts
东森新闻台,P2p://51.79.41.138:18912/5c2dd7310008b31911f81f7b032b3375.ts.ts#P2p://51.79.41.138:18912/5b1409520005add417d2051420d437ca.ts.ts
博斯无限台,P2p://51.79.41.138:18912/5b14098f0001271317d2f23314a97032.ts.ts
博斯网球台,P2p://51.79.41.138:18912/5b14098f0009bb6e17d2f4652d6a2d5a.ts.ts
博斯运动一,P2p://51.79.41.138:18912/5b1409f3000dc92317d47c0f35a7773d.ts.ts
纬来体育台,P2p://51.79.41.138:18912/5c2dd76e00049e3311f90caa4f7f3e1d.ts.ts#P2p://51.79.41.138:18912/5b140921000be14417d147423a842240.ts.ts
靖天电影台,P2p://51.79.41.138:18912/5b14093f0000e91e17d1b9a37fd82e00.ts.ts
龙华洋片台,P2p://51.79.41.138:18912/5b140917000c1e9b17d120425d920da6.ts.ts
龙华戏剧台,P2p://51.79.41.138:18912/5b14091600088a8c17d11b6f3ae37b7c.ts.ts
龙华偶像台,P2p://51.79.41.138:18912/5b1409180001262617d1215b0acb028f.ts.ts
探索频道,P2p://51.79.41.138:18912/5b14092b000cd4e017d16e9032dc71ac.ts.ts
探索科学,P2p://51.79.41.138:18912/5b14093f000e802b17d1bd1e28e3316c.ts.ts
探索动力,P2p://51.79.41.138:18912/5b14093f0006280117d1bafb05f27062.ts.ts
探索夏娃,P2p://51.79.41.138:18912/5b14093f00043fac17d1ba7e4bed47f5.ts.ts
华艺影剧台,P2p://51.79.41.138:18912/5b14095e000b67b917d2356b48977d09.ts.ts
靖洋戏剧台,P2p://51.79.41.138:18912/5b1409170006660317d11ecb4d0c407e.ts.ts
宝贝动漫台,P2p://51.79.41.138:18912/5b14090b00030e8217d0ef1052071b87.ts.ts
信大电视台,P2p://51.79.41.138:18912/5b14096a000c1de217d2647a3e82534a.ts.ts
海外频道,#genre#
新马新传媒 8,http://d34e90s3s13i7n.cloudfront.net/hls/ch8ctv/master02.m3u8
新马亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8#https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_3.m3u8
新马朝阳频道,http://d11h6a6nhl9kj9.cloudfront.net/hls/suriactv/master02.m3u8
新马亚洲美食,P2p://51.79.41.138:18912/5b1409da000c980117d41a196f3b08d9.ts.ts
新马迪瓦电视台,P2p://51.79.41.138:18912/5b1408f10005adef17d08a2c7d101e24.ts.ts
新马TV 2,P2p://51.79.41.138:18912/5bdfc29b000e4652e0f7b6e3455a240d.ts.ts
新马Astro 全佳台,P2p://51.79.41.138:18912/5d6504490007b998de8d203d31c76430.ts.ts
新马Astro 华丽台,P2p://51.79.41.138:18912/5d650464000c0498de8d8ace472844a9.ts.ts
新马Astro 双星台,P2p://51.79.41.138:18912/5cbd609500036b9842a8cce302105b8c.ts.ts
新马Astro 欢喜台,P2p://51.79.41.138:18912/5d650431000dec1fde8cc41316f051b9.ts.ts#P2p://51.79.41.138:18912/5cbd6098000d320e42a8db1b06cf5e53.ts.ts
新马Astro AEC,P2p://51.79.41.138:18912/5d65046a0003ac63de8da01b1a833dcb.ts.ts#P2p://51.79.41.138:18912/5b909942000bb565abbe327008ae1550.ts.ts
新马Astro AOD,P2p://51.79.41.138:18912/5d66315100033ff6e325065415e75df9.ts.ts
新马Astro RIA,P2p://51.79.41.138:18912/5d65046b000f1df0de8da6f152ce68ec.ts.ts
新马Astro ARENA,P2p://51.79.41.138:18912/5cbd616a000e62d042ac0fba7cfb6f97.ts.ts
越南越南人民报,http://27.118.16.98:1935/live/truyenhinhnhandan720/chunklist_w2006762604.m3u8#http://vietcago.net/vstv/thnd.m3u8#https://5952e4052a2e8.streamlock.net/live/smil:thienviet.smil/chunklist_w1106175008_b1544100_sleng.m3u8
朝鲜朝鲜中央台,http://119.77.96.184:1935/chn05/chn05/chunklist_w644291506.m3u8
印度音乐电视台,http://104.237.60.234/live/gabruutv.m3u8?dsjtv.m3u8
泰国泰国公共台,http://thaipbs-live.cdn.byteark.com/live-en/playlist_720p/index.m3u8
新马卫视合家欢,P2p://51.79.41.138:18912/5b14096a0001dd4117d261da5bf37b84.ts.ts
泰国NBT 曼谷频道,http://live.prd.go.th:1935/live/ch1_L.sdp/chunklist.m3u8
韩国KTV 韩国电视,http://218.38.152.31:1935/klive/klive.stream/playlist.m3u8
韩国EBS 儿童频道,http://ebsonairios.ebs.co.kr/ebsutablet500k/_definst_/tablet500k/chunklist_w1965791004.m3u8
韩国KBS 电视二台,P2p://51.79.41.138:18912/5b140a09000ebd1817d4d23d131870a4.ts.ts
韩国SBS 星级频道,https://streaming-a-802.cdn.nextologies.com/SBS_18/playlist.m3u8
韩国UBC SBS,http://59.25.202.81:1935/live/UBCstream/chunklist_w1495115977.m3u8
韩国SBS 影视频道,https://streaming-a-802.cdn.nextologies.com/SBS_Plus/live/SBS_Plus_1500k/chunks.m3u8
韩国YTN 联合新闻,http://ytnmmd.mmdlive.lldns.net/ytnmmd/9484b70302db4786886ae40308bf45a1/chunklist_b2592000.m3u8
日本全天新闻,https://n24-cdn-live.ntv.co.jp/ch01/High.m3u8
日本ABC 电视频道,P2p://51.79.41.138:18912/5b140a560004f79017d5fc85134f5af3.ts.ts
日本东京电视台,P2p://51.79.41.138:18912/5b140a580000321e17d6031c6aeb29e0.ts.ts
日本朝日电视台,P2p://51.79.41.138:18912/5c4aa977000a3ef3828d81493e8f6123.ts.ts
日本NHK 世界频道,https://b-nhkwlive-xjp.akamaized.net/hls/live/2003458-b/nhkwlive-xjp/index_1180.m3u8#https://nhkwlive-xjp.akamaized.net/hls/live/2003458/nhkwlive-xjp/index_1180.m3u8
日本NHK 综合频道,P2p://51.79.41.138:18912/5b140a550000ac1617d5f7845f06376a.ts.ts
蒙古国MNB,http://103.14.38.107:1935/live/mnb.stream/master.m3u8
阿联酋ATV 1,http://85.132.81.184:8080/atv/index.m3u8
阿联酋ATV 2,http://85.132.81.184:8080/atv-2/index.m3u8
阿联酋ATV 4,http://85.132.81.184:8080/atv-4/index.m3u8
卡塔尔半岛新闻,http://english.streaming.aljazeera.net/aljazeera/english2/index1296.m3u8#http://english.streaming.aljazeera.net/aljazeera/english2/index.m3u8#P2p://51.79.41.138:18912/5b1409fc0002578317d49c494e27080e.ts.ts
卡塔尔卡斯体育,http://www.elahmad.com/tv/m3u8/alkass.m3u8?id=alkass3
阿联酋星空电影,http://livecdnh1.tvanywhere.ae/hls/star_movies/04.m3u8
阿联酋迪拜电视,http://dmisxthvll.cdn.mangomolo.com/dubaitv/smil:dubaitv.stream.smil/chunklist_b1800000.m3u8
阿联酋迪拜赛马,http://dmisvthvll.cdn.mangomolo.com/events/smil:events.smil/chunklist_b1600000.m3u8
阿联酋迪拜萨马,http://dmieigthvll.cdn.mangomolo.com/samadubai/smil:samadubai.stream.smil/chunklist_b1600000.m3u8
阿联酋阿布扎比,http://adtv.ercdn.net/adaloula/adaloula_720p.m3u8
阿联酋阿布戏剧,http://adtv.ercdn.net/addrama/addrama_720p.m3u8
阿联酋阿布石油,http://adtv.ercdn.net/adalemarat/adalemarat_720p.m3u8
阿联酋阿布体育1,http://adtv.ercdn.net/adsport1/adsport1_720p.m3u8
阿联酋阿布体育2,http://adtv.ercdn.net/adsport2/adsport2_720p.m3u8
世界联合国台,https://bcliveunivsecure-lh.akamaihd.net/i/un150_A1_1@575439/index_1328_av-b.m3u8
美国 | 狗狗宠物,http://video.blivenyc.com/broadcast/prod/2061/22/file-3192k.m3u8
美国红牛运动,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_1660.m3u8
德国超级游艇,http://cdn.mobibase.com/hls/733/258_5000k/playlist.m3u8
法国 | 法国时尚,http://lb.streaming.sk/fashiontv/stream/chunklist_w1702070444.m3u8#P2p://51.79.41.138:18912/5b1409dc00021a6117d41f3932fb26a6.ts.ts
英国 | BBC 世界新闻,P2p://170.178.164.243:6210/5b448c4f0006b09c0009632361c16d91.ts#P2p://51.79.41.138:18912/5b140953000257fb17d208212c9b4fd4.ts.ts
英国BBC 地球频道,P2p://51.79.41.138:18912/5b1408f200071c8b17d08e7147665d0e.ts.ts
